latitude,longitude,#beds,#baths,#square_feet,elevator,doorman,unit#,stories#,complex,#beds_mv,#baths_mv,#square_feet_mv,stories#_mv,BUILD_YEAR(1800-1900),BUILD_YEAR(1900-2000),BUILD_YEAR(2000-2019),price
40.7231,-74.0091,3,3.5,3022,0,0,53,7,0,0,0,0,0,1,0,0,9400000
40.7817,-73.9535,2,2,1292.89797687861,1,0,68,10,0,0,0,1,0,0,1,0,1950000
40.77893,-73.9483,3,3.5,2417,1,1,84,34,0,0,0,0,0,0,0,1,5300000
40.7763,-73.9472,2,1,543,1,0,141,39,0,1,0,0,0,0,1,0,638000
40.7777,-73.9448,3,2,1292.89797687861,1,1,70,6,0,0,0,1,0,0,1,0,1449500
40.7682,-73.9577,4,4,1292.89797687861,1,0,42,19,0,0,0,1,0,0,1,0,3375000
40.7383,-74.0036,2,1,1292.89797687861,1,0,127,17,0,1,0,1,0,0,1,0,599000
40.78518,-73.9479,1,1,701,1,0,261,41,0,0,0,0,0,0,0,1,829500
40.7559,-73.9683,2,1,600,1,0,191,20,0,1,0,0,0,0,1,0,579000
40.7769,-73.98,2,6.5,8446,0,0,8,4,0,1,0,0,0,0,1,0,9500000
40.7718,-73.9639,3,4.5,1292.89797687861,1,0,40,19,0,0,0,1,0,0,1,0,6350000
40.7786,-73.985,1,1,1292.89797687861,1,0,89,17,0,0,0,1,0,0,1,0,465000
40.7963,-73.9493,2,2,1284,1,1,114,20,0,0,0,0,1,0,0,1,1695000
40.7741,-73.9803,1,1,1292.89797687861,1,0,28,15,0,0,0,1,0,0,1,0,899000
40.7389,-73.9862,1,1,1292.89797687861,1,0,149,16,0,0,0,1,0,0,1,0,820000
40.8033,-73.9653,2,2.5,1203,1,0,49,12,0,0,0,0,0,0,1,0,1500000
40.73849,-74.0063,1,1,1292.89797687861,0,0,20,4,0,0,0,1,0,1,0,0,350000
40.7098,-74.0095,2,2,1604,1,0,76,14,0,0,0,0,0,0,1,0,1599000
40.7354,-73.9958,3,1.5,1292.89797687861,1,0,23,11,0,0,0,1,0,0,1,0,2850000
40.732,-74.0075,3,3.5,2415,1,0,33,12,0,0,0,0,0,0,0,0,4495000
40.7801,-73.9859,1,1,1292.89797687861,1,0,63,15,0,0,0,1,0,0,1,0,899000
40.766,-73.9523,2,2,987,1,0,130,50,0,0,0,0,0,0,1,0,1500000
40.78829,-73.9779,2,1,1292.89797687861,1,0,60,15,0,0,0,1,0,0,1,0,1125000
40.7441,-74.0021,1,1,416,0,0,9,4,0,0,0,0,0,0,1,0,499000
40.7729,-73.9588,2,2,1292.89797687861,1,0,165,17,0,0,0,1,0,0,1,0,1750000
40.7551,-73.9724,1,1,1292.89797687861,1,0,207,32,0,0,0,1,0,0,1,0,989000
40.7771,-73.9586,3,2,1292.89797687861,1,0,40,9,0,0,0,1,0,0,1,0,1975000
40.7345,-73.9892,1,1,740,1,0,645,27,0,0,0,0,0,0,1,0,1375000
40.7677,-73.9843,1,1,750,1,0,170,7,0,0,0,0,0,0,1,0,995000
40.7761,-73.9828,1,1,700,1,0,680,34,0,0,0,0,0,0,1,0,995000
40.7136,-73.9777,2,1,1292.89797687861,1,0,0,20,0,0,0,1,1,0,0,0,879000
40.7149,-73.986,2,1,1292.89797687861,1,0,880,20,0,0,0,1,0,0,1,0,1195000
40.73039,-73.9898,2,2,1292.89797687861,1,0,260,20,0,0,0,1,0,0,1,0,1695000
40.77767,-73.9768,2,2,1292.89797687861,1,0,251,15,0,0,0,1,0,0,1,0,1250000
40.7305,-73.9931,1,1,1292.89797687861,1,1,389,31,0,0,0,1,0,0,1,0,1575000
40.7479,-73.9709,1,1,1292.89797687861,1,0,788,26,0,0,0,1,0,0,1,0,675000
40.7679,-73.9555,1,1,950,1,0,165,20,0,0,0,0,0,0,1,0,895000
40.7556,-73.9614,2,2,1292.89797687861,1,0,278,20,0,0,0,1,0,0,1,0,1450000
40.8011,-73.9585,2,1,983,1,0,257,1,0,0,0,0,0,0,1,0,1115000
40.7989,-73.9694,2,1,1292.89797687861,1,0,346,16,0,1,0,1,0,0,1,0,419000
40.7748,-73.9838,2,1,1292.89797687861,1,0,376,21,0,1,0,1,0,0,1,0,569000
40.7817,-73.9799,3,2.5,1653,1,0,125,18,0,0,0,0,0,0,0,1,3595000
40.77123,-73.9475,4,4.5,2995,1,1,41,18,0,0,0,0,0,0,0,1,6800000
40.7759,-73.9479,1,1,1292.89797687861,1,0,315,37,0,0,0,1,0,0,1,0,719000
40.7156,-73.9914,2,2,1157,1,0,9,11,0,0,0,0,0,0,1,0,2150000
40.7483,-73.9717,2,2,1292.89797687861,1,0,334,14,0,0,0,1,0,0,1,0,1100000
40.837,-73.9447,4,2,1292.89797687861,1,0,41,6,0,0,0,1,0,0,1,0,560000
40.7564,-73.9656,1,1,1292.89797687861,1,0,163,13,0,0,0,1,0,0,1,0,565000
40.7349,-74.0092,5,4.5,1292.89797687861,1,1,20,8,0,0,0,1,0,0,0,1,22995000
40.7496,-73.9821,1,1,1292.89797687861,1,0,198,15,0,0,0,1,0,0,1,0,520000
40.7829,-73.9544,1,1,1292.89797687861,1,0,38,9,0,0,0,1,0,0,1,0,525000
40.8018,-73.9693,1,1,1292.89797687861,0,0,10,5,0,0,0,1,0,0,1,0,639000
40.7909,-73.9752,1,1.5,813,1,0,157,22,0,0,0,0,0,0,1,0,995000
40.7525,-73.9678,3,2,1979,1,0,376,90,0,0,1,0,0,0,0,1,2795000
40.7473,-73.9836,2,2.5,1458,1,1,72,33,0,0,0,0,0,0,0,1,3850000
40.76951,-73.9625,2,2.5,1292.89797687861,1,0,42,11,0,0,0,1,0,0,1,0,2495000
40.76621,-73.9857,1,1,1292.89797687861,1,0,72,9,0,0,0,1,0,0,1,0,638000
40.7533,-73.9652,1,1,900,1,0,69,13,0,0,0,0,0,0,1,0,825000
40.78,-73.9764,2,2,1070,0,0,10,4,0,0,0,0,0,0,1,0,1895000
40.7478,-73.9784,1,1.5,1292.89797687861,1,0,115,24,0,0,0,1,0,0,1,0,1099000
40.7525,-73.9678,2,2.5,1592,1,0,376,90,0,0,0,0,0,0,0,1,2695000
40.7728,-73.9663,4,4,3600,1,0,27,14,0,0,0,0,0,0,1,0,6500000
40.7635,-73.9583,2,1,550,1,0,158,13,0,1,0,0,0,0,1,0,679000
40.7778,-73.9828,2,1,1292.89797687861,1,0,387,41,0,0,0,1,0,0,1,0,1350000
40.7564,-73.9696,3,2,1563,1,0,71,14,0,0,0,0,0,0,1,0,2300000
40.7325,-73.9943,2,1,1292.89797687861,1,0,74,12,0,1,0,1,0,0,1,0,598000
40.7765,-73.986,2,1,562,1,0,454,29,0,1,0,0,0,0,1,0,475000
40.78246,-73.9581,2,2,1436,1,0,98,16,0,0,0,0,0,0,1,0,1795000
40.74863,-73.9797,2,2.5,1519,1,0,106,21,0,0,0,0,0,0,0,1,3195000
40.83702,-73.9478,2,2,1275,1,1,0,20,0,0,0,0,1,0,0,0,1125000
40.8589,-73.9323,2,1,400,0,0,0,5,0,1,0,0,1,0,0,0,275000
